Customer_Age,Customer_AnnualIncome,Customer_AccountBalance,Customer_CreditScore,Customer_Tenure,Customer_City,Customer_Segment,Customer_Channel,Customer_CustomerJoinDate,Customer_Active,Customer_RiskLevel,Customer_MonthlySpend,Customer_Transactions,Customer_SatisfactionScore,Income_Lakhs,MonthlyIncome,Income_After_Spending,Balance_Income_Ratio
52.0,139914.0,114985.27,420,4,Chennai,SME,Online,2025-03-04,Yes,High,48458.54,63,9.6,1.39914,11659.5,-36799.04,0.8218281944623126
43.0,189053.0,252622.33,798,15,Chennai,Retail,Mobile,2022-06-27,Yes,Low,23670.16,37,2.0,1.89053,15754.416666666666,-7915.743333333334,1.3362513686638138
73.0,201572.0,15659.59,425,5,Chennai,Corporate,Agent,2026-03-13,Yes,High,45775.92,93,1.1,2.01572,16797.666666666668,-28978.25333333333,0.0776873276050245
47.0,162513.0,188398.01,504,13,Pune,Retail,Mobile,2024-02-10,Yes,High,10373.4,40,9.0,1.62513,13542.75,3169.3500000000004,1.1592796268606205
68.0,239266.0,149470.8,550,12,Chennai,Corporate,Mobile,2024-06-06,No,Medium,12802.53,71,1.6,2.39266,19938.833333333332,7136.3033333333315,0.6247055578310332
47.0,123317.0,297062.67,546,10,Mumbai,Premium,Online,2021-09-03,No,High,24625.17,34,3.9,1.23317,10276.416666666666,-14348.753333333332,2.40893526439988
72.0,150816.0,63333.74,644,9,Kolkata,Premium,Agent,2024-01-10,No,Medium,32584.32,19,3.7,1.50816,12568.0,-20016.32,0.41994045724591555
60.0,184674.0,17322.32,552,9,Delhi,Corporate,Agent,2023-08-17,Yes,Medium,47767.04,112,5.605416666666668,1.84674,15389.5,-32377.54,0.09379945200732101
29.0,230342.0,265685.93,520,12,Hyderabad,Corporate,Online,2025-05-19,Yes,High,24625.17,35,2.7,2.30342,19195.166666666668,-5430.00333333333,1.153441100624289
19.0,185831.0,281127.31,467,14,Bangalore,Premium,Online,2022-09-22,Yes,High,49612.5,83,6.8,1.85831,15485.916666666666,-34126.583333333336,1.5128116944966126
25.0,56367.0,242156.8,834,13,Mumbai,Premium,Branch,2022-05-26,Yes,Low,14148.62,134,3.8,0.56367,4697.25,-9451.37,4.296073943974311
71.0,95017.0,181623.53,593,1,Kolkata,SME,Online,2024-08-19,Yes,Medium,16530.56,99,3.6,0.95017,7918.083333333333,-8612.47666666667,1.9114845764442152
36.0,139914.0,120829.32,492,10,Pune,Corporate,Branch,2025-08-26,Yes,High,2294.62,39,6.3,1.39914,11659.5,9364.880000000001,0.863597066769587
41.0,139914.0,233078.4,521,9,Mumbai,Premium,Agent,2021-03-23,No,High,7964.24,90,9.7,1.39914,11659.5,3695.26,1.6658690338350701
33.0,151969.0,15570.28,834,9,Chennai,Retail,Branch,2023-02-23,Yes,Low,29454.34,52,1.4,1.51969,12664.083333333334,-16790.256666666668,0.10245694845659313
54.0,32788.0,281524.12,394,5,Delhi,Premium,Mobile,2023-08-24,Yes,High,21852.59,20,4.2,0.32788,2732.3333333333335,-19120.256666666668,8.5861937294132
68.0,226548.0,92686.8,745,15,Bangalore,Premium,Mobile,2025-06-12,Yes,Low,38320.75,43,1.3,2.26548,18879.0,-19441.75,0.4091265427194237
47.0,145030.0,165597.09,378,8,Bangalore,Retail,Online,2023-09-28,No,High,24625.17,29,2.1,1.4503,12085.833333333334,-12539.336666666664,1.141812659449769
18.0,157439.0,108652.88,800,15,Bangalore,Corporate,Branch,2025-07-19,Yes,Low,48012.25,62,5.9,1.57439,13119.916666666666,-34892.333333333336,0.6901268427772026
37.0,97588.0,94964.9,732,2,Mumbai,SME,Branch,2023-11-05,No,Low,35481.37,146,4.8,0.97588,8132.333333333333,-27349.03666666667,0.9731206705742509
46.0,111652.0,102541.11,682,9,Chennai,Premium,Online,2021-05-05,Yes,Medium,41878.24,77,1.4,1.11652,9304.333333333334,-32573.906666666662,0.9183992225844588
73.0,194631.0,120391.81,320,3,Hyderabad,Retail,Online,2025-02-03,Yes,High,1300.39,137,5.9,1.94631,16219.25,14918.86,0.618564411630213
29.0,152556.0,181644.8,837,0,Mumbai,Premium,Agent,2024-07-20,No,Low,49036.75,34,1.3,1.52556,12713.0,-36323.75,1.190676210702955
49.0,204402.0,151344.55801855895,372,12,Hyderabad,Corporate,Agent,2021-03-31,Yes,High,29826.05,37,5.7,2.04402,17033.5,-12792.55,0.7404260135348918
61.0,165629.0,156942.91,473,12,Chennai,Premium,Mobile,2025-08-08,Yes,High,36338.44,120,3.9,1.65629,13802.416666666666,-22536.023333333338,0.9475569495680105
47.0,185081.0,119730.06,540,11,Chennai,SME,Mobile,2021-06-11,No,High,1318.7,2,4.2,1.85081,15423.416666666666,14104.716666666665,0.646906273469454
45.0,201313.0,130652.29,783,4,Mumbai,Premium,Mobile,2025-02-15,Yes,Low,22569.56,60,8.9,2.01313,16776.083333333332,-5793.476666666669,0.6490007600105309
47.0,139914.0,56711.86,416,5,Mumbai,Corporate,Branch,2022-05-03,No,High,12811.0,13,8.1,1.39914,11659.5,-1151.5,0.40533370499020827
24.0,27659.0,251259.25,842,13,Bangalore,Corporate,Mobile,2021-11-13,No,Low,48621.75,74,3.4,0.27659,2304.9166666666665,-46316.833333333336,9.084176940597997
64.0,139914.0,228932.51,776,10,Hyderabad,Premium,Agent,2024-09-27,Yes,Low,17947.53,141,2.4,1.39914,11659.5,-6288.029999999999,1.636237331503638
63.0,234373.0,164088.98,746,13,Hyderabad,SME,Branch,2023-12-24,Yes,Low,15070.23,88,5.1,2.34373,19531.083333333332,4460.853333333333,0.7001189556817552
66.0,215001.0,195570.26,471,9,Unknown,Corporate,Agent,2022-05-03,Yes,High,23898.99,73,5.8,2.15001,17916.75,-5982.240000000002,0.909624885465649
59.0,176426.0,246128.05,400,11,Delhi,Premium,Agent,2024-10-31,No,High,3797.79,51,7.4,1.76426,14702.166666666666,10904.376666666667,1.3950781064015507
25.0,42727.0,175067.09,567,13,Bangalore,SME,Mobile,2023-04-29,No,Medium,9707.42,94,8.2,0.42727,3560.5833333333335,-6146.836666666666,4.097341025581014
40.0,127932.0,8353.17,628,6,Delhi,SME,Online,2025-08-15,Yes,High,33796.11,31,3.6,1.27932,10661.0,-23135.11,0.06529382797110965
32.0,28631.0,130925.88,624,2,Mumbai,Premium,Branch,2022-12-28,Yes,Medium,13411.34,116,6.0,0.28631,2385.9166666666665,-11025.423333333334,4.572871363207712
42.0,49022.0,151344.55801855895,771,14,Chennai,SME,Agent,2021-08-05,Yes,Low,11065.67,68,3.7,0.49022,4085.1666666666665,-6980.503333333334,3.087278324396372
66.0,31304.0,5026.89,835,3,Bangalore,Corporate,Agent,2023-12-14,Yes,High,24625.17,19,5.9,0.31304,2608.6666666666665,-22016.50333333333,0.16058299258880654
69.0,173159.0,61338.27,827,3,Mumbai,Premium,Agent,2024-02-21,Yes,Low,15379.26,110,9.5,1.73159,14429.916666666666,-949.3433333333342,0.3542309091644096
74.0,170128.0,236012.5,632,7,Pune,SME,Agent,2025-12-11,Yes,Medium,21125.17,128,5.6,1.70128,14177.333333333334,-6947.836666666664,1.3872642951189693
62.0,195286.0,151344.55801855895,588,10,Mumbai,Corporate,Online,2023-02-21,Yes,Medium,28332.98,80,3.7,1.95286,16273.833333333334,-12059.146666666666,0.7749892876015636
30.0,216617.0,138433.65,334,1,Kolkata,Premium,Agent,2021-04-07,Yes,High,22003.8,134,2.7,2.16617,18051.416666666668,-3952.3833333333314,0.6390710332060734
63.0,128409.0,163351.73,518,1,Bangalore,Premium,Mobile,2025-05-17,Yes,High,21167.38,76,9.7,1.28409,10700.75,-10466.630000000001,1.2721205678729686
60.0,200006.0,109765.74,462,4,Bangalore,Retail,Branch,2022-10-25,Yes,High,32375.14,119,8.2,2.00006,16667.166666666668,-15707.973333333332,0.548812235632931
62.0,120998.0,151344.55801855895,770,6,Hyderabad,Premium,Online,2022-10-26,No,Low,43585.06,26,5.7,1.20998,10083.166666666666,-33501.89333333333,1.2508021456433904
55.0,45074.0,58334.29,673,2,Pune,SME,Agent,2026-02-08,Yes,Medium,31006.44,136,2.7,0.45074,3756.1666666666665,-27250.27333333333,1.2941893330966854
34.0,44169.0,282759.39,419,3,Mumbai,Retail,Mobile,2025-09-02,Yes,High,30866.14,42,7.3,0.44169,3680.75,-27185.39,6.401761189974869
37.0,170282.0,267017.11,686,12,Bangalore,Premium,Online,2021-04-13,No,Medium,2107.83,63,9.2,1.70282,14190.166666666666,12082.336666666666,1.5680877015773833
28.0,139914.0,259020.23,344,8,Chennai,Premium,Mobile,2025-03-27,Yes,High,24625.17,91,2.8,1.39914,11659.5,-12965.669999999998,1.8512817159112027
20.0,103258.0,46885.11,306,7,Bangalore,Premium,Agent,2022-04-26,No,High,7275.58,37,2.0,1.03258,8604.833333333334,1329.253333333334,0.45405789381936507
29.0,144891.0,56074.33,546,3,Bangalore,SME,Mobile,2023-05-12,No,High,21591.96,20,3.7,1.44891,12074.25,-9517.71,0.38701044233251203
47.0,233526.0,296829.53,810,8,Pune,SME,Mobile,2025-03-06,Yes,Low,9940.5,13,9.4,2.33526,19460.5,9520.0,1.2710770106968818
50.0,27920.0,118420.31,847,6,Hyderabad,Premium,Agent,2024-08-28,Yes,Low,47061.51,103,7.8,0.2792,2326.6666666666665,-44734.84333333334,4.24141511461318
25.0,69859.0,228778.92,646,6,Delhi,Premium,Branch,2023-08-24,Yes,Medium,16850.39,85,6.7,0.69859,5821.583333333333,-11028.806666666667,3.2748668031320234
48.0,211898.0,151344.55801855895,433,5,Delhi,SME,Online,2025-06-14,No,High,34799.0,24,3.4,2.11898,17658.166666666668,-17140.833333333332,0.7142330650528035
47.0,225641.0,266666.23,478,12,Pune,SME,Mobile,2022-12-26,Yes,High,18978.6,95,5.605416666666668,2.25641,18803.416666666668,-175.18333333333067,1.181816380888225
39.0,245169.0,224401.42,596,3,Bangalore,Corporate,Branch,2022-11-29,No,Medium,1506.87,142,6.1,2.45169,20430.75,18923.88,0.9152927980291147
62.0,191129.0,234404.65,739,4,Bangalore,Retail,Mobile,2025-01-09,Yes,Low,18278.61,81,3.7,1.91129,15927.416666666666,-2351.1933333333345,1.2264211605774111
58.0,106941.0,169388.72,792,5,Chennai,Premium,Branch,2023-04-22,Yes,Low,13546.86,46,6.3,1.06941,8911.75,-4635.110000000001,1.5839455400641476
42.0,41288.0,151344.55801855895,629,4,Mumbai,Corporate,Branch,2023-12-14,Yes,Medium,43876.68,65,7.1,0.41288,3440.6666666666665,-40436.013333333336,3.665582203510922
23.0,179834.0,16054.34,526,9,Hyderabad,Retail,Mobile,2025-02-13,Yes,High,1558.75,121,1.5,1.79834,14986.166666666666,13427.416666666666,0.08927310742128852
51.0,232367.0,108729.4,452,10,Unknown,Retail,Branch,2022-01-30,Yes,High,9614.44,93,4.7,2.32367,19363.916666666668,9749.476666666667,0.46792100427341227
37.0,174302.0,173919.35,830,9,Delhi,Premium,Online,2023-05-24,Yes,Low,32314.5,96,8.0,1.74302,14525.166666666666,-17789.333333333336,0.9978046723502886
53.0,89772.0,263958.8,577,9,Kolkata,Premium,Agent,2024-04-24,Yes,Medium,2449.81,87,9.8,0.89772,7481.0,5031.1900000000005,2.940324377311411
47.0,200211.0,242637.0,828,0,Chennai,SME,Agent,2025-01-14,Yes,Low,30984.27,53,10.0,2.00211,16684.25,-14300.02,1.2119064387071639
57.0,228838.0,166307.0,457,8,Delhi,Retail,Agent,2022-07-20,Yes,High,41557.61,83,3.1,2.28838,19069.833333333332,-22487.77666666667,0.7267455579929907
42.0,59228.0,67718.32,822,0,Mumbai,Retail,Mobile,2021-02-13,Yes,Low,32477.51,5,9.7,0.59228,4935.666666666667,-27541.84333333333,1.1433497670020938
18.0,180289.0,73955.97,325,13,Hyderabad,SME,Online,2021-03-10,Yes,High,10611.24,74,3.5,1.80289,15024.083333333334,4412.843333333334,0.41020788844577316
47.0,58380.0,225435.88,819,10,Kolkata,SME,Agent,2025-05-13,Yes,Low,44764.29,46,3.1,0.5838,4865.0,-39899.29,3.861525865022268
22.0,211321.0,63568.3,709,2,Bangalore,Retail,Mobile,2024-03-01,Yes,Low,46790.52,80,1.6,2.11321,17610.083333333332,-29180.436666666665,0.3008139276266912
59.0,145585.0,207028.97,393,3,Chennai,Premium,Agent,2022-09-07,Yes,High,4079.37,80,7.3,1.45585,12132.083333333334,8052.713333333334,1.422048768760518
40.0,47746.0,258902.71,473,2,Delhi,Corporate,Agent,2023-01-30,No,High,24625.17,88,7.5,0.47746,3978.8333333333335,-20646.336666666666,5.4225005236040715
45.0,109976.0,181726.59,570,12,Hyderabad,Premium,Mobile,2024-08-05,No,High,43904.5,51,1.5,1.09976,9164.666666666666,-34739.833333333336,1.6524204371862952
50.0,145029.0,158964.38,337,12,Delhi,Premium,Online,2024-02-17,Yes,High,31027.26,36,4.8,1.45029,12085.75,-18941.51,1.0960868515951983
53.0,215868.0,210746.5,846,1,Hyderabad,Corporate,Agent,2022-07-06,No,Low,10320.84,49,1.0,2.15868,17989.0,7668.16,0.9762748531509997
19.0,171451.0,7571.2,365,2,Delhi,Premium,Online,2024-01-11,No,High,24354.42,94,8.4,1.71451,14287.583333333334,-10066.836666666664,0.044159555791450616
60.0,62711.0,2906.06,374,0,Bangalore,SME,Branch,2023-01-06,No,High,36956.46,54,2.6,0.62711,5225.916666666667,-31730.54333333333,0.04634051442330692
55.0,117197.0,228127.29,816,13,Delhi,SME,Mobile,2023-08-24,No,Low,24834.86,77,1.3,1.17197,9766.416666666666,-15068.443333333335,1.9465284094302755
66.0,164401.0,295453.72,320,13,Kolkata,Retail,Agent,2021-03-01,Yes,High,16104.31,53,9.8,1.64401,13700.083333333334,-2404.2266666666656,1.7971528153721692
40.0,108369.0,18028.92,342,4,Delhi,Premium,Mobile,2022-04-06,No,High,38269.46,140,2.5,1.08369,9030.75,-29238.71,0.16636602718489604
21.0,215736.0,202319.9,536,5,Mumbai,Retail,Online,2023-06-25,No,High,28088.58,28,7.6,2.15736,17978.0,-10110.580000000002,0.9378124188823377
54.0,210763.0,128878.78,667,10,Mumbai,Retail,Branch,2021-05-24,Yes,Medium,37906.25,22,6.8,2.10763,17563.583333333332,-20342.666666666668,0.6114867410313954
43.0,136279.0,190812.74,364,7,Chennai,SME,Mobile,2025-03-15,Yes,High,13900.78,63,6.6,1.36279,11356.583333333334,-2544.1966666666667,1.4001624608340242
72.0,139914.0,27685.44,840,9,Mumbai,Retail,Agent,2023-05-16,No,Low,13192.71,99,2.9,1.39914,11659.5,-1533.2099999999991,0.1978746944551653
34.0,230391.0,87754.53,369,13,Kolkata,Retail,Branch,2024-11-13,No,High,29787.61,69,5.0,2.30391,19199.25,-10588.36,0.38089391512689297
47.0,121722.0,4109.57,778,4,Chennai,Corporate,Branch,2022-05-08,No,High,1369.49,84,9.7,1.21722,10143.5,8774.01,0.0337619329291336
62.0,193383.0,283993.33,474,1,Hyderabad,SME,Online,2022-07-01,Yes,High,13007.64,55,9.7,1.93383,16115.25,3107.6100000000006,1.4685537508467652
47.0,206403.0,296765.33,370,5,Mumbai,Premium,Mobile,2022-09-30,Yes,High,5194.11,136,3.2,2.06403,17200.25,12006.14,1.437795623125633
57.0,187728.0,151344.55801855895,782,13,Pune,SME,Mobile,2025-12-06,Yes,Low,3661.85,76,4.4,1.87728,15644.0,11982.15,0.8061906482706839
66.0,95119.0,207363.54,718,15,Hyderabad,Corporate,Branch,2022-06-02,Yes,Low,9535.31,111,6.8,0.95119,7926.583333333333,-1608.7266666666665,2.1800433141643625
42.0,203589.0,237516.08,795,13,Hyderabad,Retail,Branch,2024-07-24,Yes,Low,7691.94,61,8.0,2.03589,16965.75,9273.810000000001,1.1666449562599157
33.0,249884.0,252604.7,432,6,Mumbai,Retail,Agent,2024-12-06,Yes,High,42436.87,12,7.5,2.49884,20823.666666666668,-21613.203333333335,1.010887851963311
39.0,176409.0,156761.92,396,3,Delhi,Corporate,Agent,2023-12-20,Yes,High,9192.97,46,7.6,1.76409,14700.75,5507.780000000001,0.8886276777261932
66.0,112468.0,3975.31,642,6,Chennai,Premium,Branch,2022-07-13,Yes,High,3037.88,100,4.8,1.12468,9372.333333333334,6334.453333333334,0.03534614290287015
39.0,119018.0,52224.5,638,9,Hyderabad,Premium,Agent,2022-02-03,Yes,Medium,21316.62,66,2.7,1.19018,9918.166666666666,-11398.453333333333,0.43879497218908065
22.0,221501.0,100038.78,476,1,Delhi,SME,Branch,2025-09-04,Yes,High,24625.17,79,5.605416666666668,2.21501,18458.416666666668,-6166.75333333333,0.4516403086216315
72.0,192296.0,1603.85,565,7,Kolkata,Corporate,Online,2022-08-26,Yes,High,36793.64,53,6.7,1.92296,16024.666666666666,-20768.973333333335,0.008340527104047925
50.0,44873.0,171966.96,540,5,Mumbai,SME,Agent,2023-04-05,No,High,27122.97,129,5.605416666666668,0.44873,3739.4166666666665,-23383.553333333333,3.8323036124172662
61.0,183588.0,266872.99,545,10,Kolkata,Premium,Mobile,2024-10-09,Yes,High,3686.56,137,2.1,1.83588,15299.0,11612.44,1.453651600322461
37.0,200915.0,84991.43,496,8,Kolkata,Premium,Mobile,2023-08-31,No,High,20365.61,76,5.605416666666668,2.00915,16742.916666666668,-3622.6933333333327,0.42302182514993897
34.0,93344.0,242406.79,523,9,Chennai,SME,Agent,2024-06-20,Yes,High,29574.66,84,8.8,0.93344,7778.666666666667,-21795.993333333332,2.5969188164209807
50.0,35756.0,196198.23,721,10,Delhi,Corporate,Online,2024-05-04,Yes,Low,20484.78,83,6.3,0.35756,2979.6666666666665,-17505.11333333333,5.48714145877615
55.0,184116.0,65912.04,688,1,Kolkata,Corporate,Branch,2025-05-08,No,Medium,42876.72,140,7.8,1.84116,15343.0,-27533.72,0.3579919181385648
72.0,84765.0,178224.83,503,2,Mumbai,SME,Agent,2022-08-22,Yes,High,37869.12,139,9.2,0.84765,7063.75,-30805.370000000003,2.1025757093139856
25.0,139914.0,291726.0,355,12,Pune,Retail,Branch,2023-08-24,Yes,High,30013.44,140,6.2,1.39914,11659.5,-18353.94,2.085037951884729
63.0,207958.0,137579.38,624,15,Delhi,Retail,Mobile,2022-12-16,No,Medium,31610.52,88,1.2,2.07958,17329.833333333332,-14280.686666666668,0.6615729137614326
65.0,78352.0,266539.23,767,5,Delhi,Premium,Agent,2023-02-16,Yes,Low,15766.84,29,9.1,0.78352,6529.333333333333,-9237.506666666668,3.4018178221360014
71.0,195102.0,219636.78,843,1,Unknown,Retail,Online,2021-10-03,No,Low,24625.17,65,4.0,1.95102,16258.5,-8366.669999999998,1.1257536058061937
31.0,34283.0,268078.38,833,10,Pune,Corporate,Mobile,2021-04-05,Yes,Low,49257.98,39,6.2,0.34283,2856.9166666666665,-46401.06333333334,7.819571799434122
52.0,177850.0,268279.54,678,15,Chennai,Premium,Branch,2023-01-23,No,Medium,15522.2,105,4.9,1.7785,14820.833333333334,-701.3666666666668,1.50845960078718
57.0,41014.0,20500.23,581,3,Mumbai,Retail,Online,2025-07-10,Yes,Medium,42428.82,97,5.5,0.41014,3417.8333333333335,-39010.986666666664,0.4998349344126396
51.0,139914.0,290602.38,754,11,Chennai,Premium,Agent,2025-03-10,No,Low,41660.98,23,2.4,1.39914,11659.5,-30001.480000000003,2.07700716154209
47.0,148279.0,21001.05,570,8,Kolkata,Premium,Branch,2024-03-25,Yes,Medium,16610.71,77,4.2,1.48279,12356.583333333334,-4254.126666666665,0.14163199104391047
42.0,157997.0,234904.99,566,10,Mumbai,Retail,Online,2022-07-25,Yes,Medium,34070.04,92,8.3,1.57997,13166.416666666666,-20903.623333333337,1.4867686728229017
27.0,123540.0,191386.28,759,9,Hyderabad,Corporate,Mobile,2022-04-26,Yes,Low,48491.86,100,2.0,1.2354,10295.0,-38196.86,1.5491847175004048
22.0,51958.0,65941.6,582,8,Chennai,Retail,Agent,2025-01-11,Yes,Medium,36931.23,98,2.4,0.51958,4329.833333333333,-32601.39666666667,1.269132761076254
28.0,106571.0,61332.17,633,10,Mumbai,Premium,Branch,2022-08-05,Yes,Medium,18749.53,43,7.9,1.06571,8880.916666666666,-9868.613333333333,0.5755052500211126
21.0,114489.0,265374.99,587,6,Pune,Premium,Mobile,2023-06-22,Yes,Medium,6053.97,143,3.8,1.14489,9540.75,3486.7799999999997,2.3179081833189215
45.0,82660.0,30824.48,820,5,Mumbai,SME,Branch,2023-11-19,Yes,Low,39040.77,67,3.6,0.8266,6888.333333333333,-32152.436666666665,0.3729068473263973
50.0,147413.0,158167.85,832,14,Pune,Retail,Agent,2023-02-05,Yes,Low,19029.64,148,1.5,1.47413,12284.416666666666,-6745.223333333333,1.0729572697116265
56.0,139914.0,151344.55801855895,554,3,Chennai,Corporate,Branch,2021-09-28,Yes,High,14592.55,100,8.0,1.39914,11659.5,-2933.0499999999993,1.0816970283070955
62.0,75939.0,177605.05,592,15,Pune,Retail,Online,2021-08-26,Yes,Medium,24625.17,68,3.6,0.75939,6328.25,-18296.92,2.3387857359196196
51.0,43474.0,13212.11,835,2,Unknown,Premium,Online,2023-03-26,No,High,40385.31,82,6.8,0.43474,3622.8333333333335,-36762.47666666666,0.30390831301467547
47.0,166826.0,123401.84,307,2,Pune,Corporate,Agent,2025-01-01,No,High,19667.28,16,6.3,1.66826,13902.166666666666,-5765.113333333333,0.739703883087768
57.0,141981.0,162493.93,358,7,Chennai,SME,Mobile,2023-05-11,Yes,High,17807.84,50,7.4,1.41981,11831.75,-5976.09,1.144476584895162
57.0,200136.0,74072.23,767,15,Kolkata,Corporate,Online,2023-07-29,Yes,Low,11905.89,11,3.1,2.00136,16678.0,4772.110000000001,0.3701094755566215
25.0,112960.0,55035.72,796,2,Hyderabad,Corporate,Online,2022-03-30,No,Low,45607.85,74,4.6,1.1296,9413.333333333334,-36194.51666666666,0.48721423512747875
44.0,189433.0,246494.38,464,1,Bangalore,Retail,Online,2025-08-29,Yes,High,15906.64,57,1.8,1.89433,15786.083333333334,-120.55666666666548,1.3012219623824783
55.0,139914.0,43316.29,535,4,Pune,Corporate,Agent,2023-08-24,No,High,5016.9,78,6.2,1.39914,11659.5,6642.6,0.30959224952470804
32.0,50592.0,231222.76,566,6,Delhi,Corporate,Branch,2023-08-24,Yes,Medium,8623.66,28,4.0,0.50592,4216.0,-4407.66,4.570342346616066
47.0,222149.0,151344.55801855895,386,14,Hyderabad,Corporate,Agent,2023-07-21,No,High,25880.46,76,6.1,2.22149,18512.416666666668,-7368.043333333331,0.6812749911931134
46.0,198359.0,129030.86,739,9,Mumbai,SME,Agent,2023-01-03,Yes,Low,38345.9,145,9.9,1.98359,16529.916666666668,-21815.983333333334,0.6504915834421428
57.0,113009.0,270670.92,833,13,Pune,Retail,Branch,2021-11-02,No,Low,24324.86,117,2.0,1.13009,9417.416666666666,-14907.443333333335,2.3951271137696994
69.0,96031.0,129162.06,732,5,Delhi,Retail,Online,2021-12-23,Yes,Low,40842.88,25,8.0,0.96031,8002.583333333333,-32840.29666666666,1.3450038008559735
18.0,90087.0,83353.55,850,1,Delhi,SME,Mobile,2025-06-06,Yes,Low,3944.3,95,6.9,0.90087,7507.25,3562.95,0.9252561412856461
34.0,67604.0,185990.57,805,14,Kolkata,SME,Online,2023-08-24,Yes,Low,25733.95,68,1.7,0.67604,5633.666666666667,-20100.283333333333,2.7511770013608663
66.0,147232.0,31677.46,790,8,Bangalore,Premium,Agent,2022-02-16,Yes,Low,13296.06,144,4.4,1.47232,12269.333333333334,-1026.7266666666656,0.21515336339926103
52.0,160450.0,78741.18,402,4,Delhi,SME,Branch,2022-08-27,Yes,High,5527.05,103,7.8,1.6045,13370.833333333334,7843.783333333334,0.49075213462137734
55.0,211749.0,4652.5,611,7,Delhi,Retail,Mobile,2023-08-24,Yes,High,36425.06,9,8.4,2.11749,17645.75,-18779.309999999998,0.021971768461716466
26.0,139914.0,56352.86,815,3,Pune,Retail,Branch,2021-09-05,Yes,Low,36196.22,8,1.8,1.39914,11659.5,-24536.72,0.4027678431036208
26.0,113664.0,91347.76,528,15,Mumbai,Corporate,Mobile,2022-06-07,Yes,High,33662.16,66,1.7,1.13664,9472.0,-24190.160000000003,0.8036648367117116
70.0,57994.0,151344.55801855895,425,5,Chennai,Premium,Branch,2023-01-18,Yes,High,38384.92,111,9.2,0.57994,4832.833333333333,-33552.08666666666,2.609658896067851
27.0,92203.0,105780.78,315,14,Kolkata,Corporate,Mobile,2023-04-25,Yes,High,26074.35,131,3.7,0.92203,7683.583333333333,-18390.766666666666,1.1472596336344805
56.0,202731.0,203669.32,339,13,Mumbai,Premium,Online,2021-02-09,Yes,High,16017.03,15,3.2,2.02731,16894.25,877.2199999999993,1.0046283992088039
63.0,139914.0,151344.55801855895,355,2,Delhi,Premium,Mobile,2025-11-23,No,High,21600.9,39,7.6,1.39914,11659.5,-9941.400000000001,1.0816970283070955
21.0,36116.0,219347.2,361,7,Kolkata,Premium,Branch,2022-08-29,No,High,22618.29,3,8.4,0.36116,3009.6666666666665,-19608.623333333333,6.073407907852475
19.0,196033.0,151344.55801855895,584,15,Chennai,Corporate,Online,2021-12-25,Yes,Medium,23273.28,84,6.8,1.96033,16336.083333333334,-6937.196666666665,0.7720361266651989
51.0,35749.0,83537.26,545,1,Kolkata,Corporate,Online,2024-04-28,Yes,High,24918.36,124,6.1,0.35749,2979.0833333333335,-21939.27666666667,2.3367719376765783
19.0,118980.0,185165.64,367,1,Mumbai,Corporate,Agent,2021-07-23,No,High,27811.67,147,6.1,1.1898,9915.0,-17896.67,1.5562753403933436
54.0,139914.0,99910.46,384,7,Mumbai,Corporate,Agent,2026-01-12,Yes,High,703.02,86,9.7,1.39914,11659.5,10956.48,0.7140847949454665
55.0,204967.0,93300.75,713,8,Pune,Premium,Agent,2024-09-19,Yes,Low,47767.94,138,9.1,2.04967,17080.583333333332,-30687.35666666667,0.4551988856742793
69.0,139914.0,35119.81,808,7,Mumbai,Retail,Branch,2025-01-11,No,Low,5393.88,146,5.3,1.39914,11659.5,6265.62,0.25100997755764254
36.0,55841.0,22446.36,701,13,Kolkata,Retail,Online,2022-05-24,Yes,Low,24625.17,76,6.1,0.55841,4653.416666666667,-19971.75333333333,0.401969162443366
47.0,28712.0,18399.29,737,11,Kolkata,Premium,Online,2025-02-14,No,Low,17045.2,81,7.3,0.28712,2392.6666666666665,-14652.533333333335,0.6408223042630259
75.0,79220.0,59547.32,345,9,Chennai,Retail,Branch,2025-06-25,Yes,High,42261.58,81,1.6,0.7922,6601.666666666667,-35659.91333333334,0.7516702852814946
61.0,150703.0,106791.31,313,6,Mumbai,Premium,Online,2024-06-08,Yes,High,31457.18,84,2.3,1.50703,12558.583333333334,-18898.596666666665,0.7086209962641752
40.0,67963.0,138717.35,570,5,Chennai,Premium,Mobile,2023-10-18,Yes,High,35739.24,55,2.6,0.67963,5663.583333333333,-30075.656666666666,2.0410716124950343
64.0,124853.0,213970.76,812,6,Delhi,Retail,Mobile,2022-12-13,Yes,Low,20523.56,118,4.4,1.24853,10404.416666666666,-10119.143333333335,1.7137814870287458
39.0,156691.0,190961.59,721,12,Kolkata,Retail,Mobile,2022-09-12,Yes,Low,44788.17,100,3.0,1.56691,13057.583333333334,-31730.586666666662,1.2187144762621975
52.0,55651.0,78702.89,575,14,Pune,Retail,Mobile,2021-07-05,Yes,Medium,23445.84,28,7.2,0.55651,4637.583333333333,-18808.256666666668,1.4142223859409535
22.0,60488.0,6608.08,850,2,Bangalore,SME,Online,2022-10-01,No,High,30996.88,48,7.2,0.60488,5040.666666666667,-25956.213333333333,0.10924613146409205
72.0,167312.0,95491.23,337,5,Hyderabad,Retail,Agent,2024-04-15,No,High,16106.39,26,6.0,1.67312,13942.666666666666,-2163.7233333333334,0.5707374844601701
